game,gameLabel,genreLabel,esrbRatingLabel,pegiRatingLabel,year
http://www.wikidata.org/entity/Q109996577,6Souls,приключенческая компьютерная игра,для всех старше 10 лет,PEGI 7,2021
http://www.wikidata.org/entity/Q109996577,6Souls,экшен,для всех старше 10 лет,PEGI 7,2021
http://www.wikidata.org/entity/Q109996577,6Souls,приключенческий экшен,для всех старше 10 лет,PEGI 7,2021
http://www.wikidata.org/entity/Q109996577,6Souls,казуальная игра,для всех старше 10 лет,PEGI 7,2021
http://www.wikidata.org/entity/Q110036350,Trash Quest,метроидвания,для всех старше 10 лет,PEGI 3,2021
http://www.wikidata.org/entity/Q110039766,Monobot,приключенческая компьютерная игра,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110039766,Monobot,экшен,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110039766,Monobot,приключенческий экшен,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110103610,Wavetale,приключенческая компьютерная игра,для всех старше 10 лет,PEGI 7,2021
http://www.wikidata.org/entity/Q110103610,Wavetale,экшен,для всех старше 10 лет,PEGI 7,2021
http://www.wikidata.org/entity/Q110103610,Wavetale,приключенческий экшен,для всех старше 10 лет,PEGI 7,2021
http://www.wikidata.org/entity/Q110126163,Monkey Barrels,приключенческая компьютерная игра,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110126163,Monkey Barrels,экшен,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110126163,Monkey Barrels,приключенческий экшен,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110126163,Monkey Barrels,top-down shooter,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110159438,Rain on Your Parade,приключенческая компьютерная игра,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110159438,Rain on Your Parade,экшен,для всех старше 10 лет,,2021
http://www.wikidata.org/entity/Q110159438,Rain on Your Parade,приключенческий экшен,для всех старше 10 лет,,2021
